,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,0,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,4.657159781886475
1,1,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,9.348433429696804
2,2,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,10.642185461889508
3,3,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20.2875618822922
4,4,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,14.02209608257701
5,5,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,9.177855596110662
6,6,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,13.682164847789554
7,7,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,8.952822746360196
8,8,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,17.297865752893937
9,9,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,2.984667442629612
10,10,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,13.61158511182856
11,11,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,9.075387359302276
12,12,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,12.209868225895356
13,13,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,3.1092107402763944
14,14,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,9.31503559372121
15,15,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20.182693224614507
16,16,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,13.763977224483764
